aaa,9370864,8070,286,445
aab,9848113,6987,151,316
aac,9801935,8932,277,436
aad,9982934,8377,204,291
aae,9852058,8569,434,1001
aaf,9866172,8130,81,269
aag,9945130,9782,53,92
aba,9763490,9676,82,265
abb,9952457,7859,218,348
abc,9848551,9087,30,121
abd,9643620,9538,124,225
abe,9348891,8291,90,212
abf,9902141,8357,48,86
abg,9923564,8966,68,173
aca,9432388,8761,78,208
acb,9773841,8518,273,621
acc,9873119,9648,6,19
acd,9826178,7235,132,190
ace,9880680,9473,226,366
acf,9985641,9058,390,761
acg,9999649,7773,5,14
ada,9944663,7663,265,363
adb,9916782,8401,97,242
adc,9821569,8383,82,129
add,9996757,6630,178,356
ade,9957819,10348,135,276
adf,9739585,9144,130,237
adg,9996407,8610,8,30
aea,9945174,7114,13,34
aeb,9618934,8659,9,23
aec,9743049,9254,66,134
aed,9626150,7054,32,154
aee,9796765,7967,157,285
aef,9781668,10274,239,561
aeg,9927252,9709,218,316
afa,9586611,8699,8,20
afb,9988005,8207,187,375
afc,9933694,7097,215,336
afd,9798362,9468,135,299
afe,9734361,10008,54,100
aff,9972364,9660,14,45
afg,9897865,7849,24,69
aga,9981399,8479,142,269
agb,8862746,10061,119,287
agc,9993206,9400,31,67
agd,9901778,8340,5,12
age,9968930,9401,35,204
agf,9859013,8473,332,572
agg,9851787,8224,53,135
baa,9809616,9230,59,80
bab,9847955,9474,9,23
bac,9807033,8186,133,333
bad,9893128,8955,90,233
bae,9985662,7509,174,311
baf,9889644,11504,93,211
bag,9773295,8884,62,130
bba,9976693,9343,66,132
bbb,9973078,8232,162,236
bbc,9965631,8263,107,159
bbd,9852116,8816,240,427
bbe,9990858,8992,136,248
bbf,9845492,9374,94,162
bbg,9967439,8553,31,61
bca,9747176,9556,5,7
bcb,9847192,8076,124,229
bcc,9992544,9216,302,528
bcd,9905409,7736,159,416
bce,9998685,9281,8,25
bcf,9720429,9628,5,12
bcg,9969629,9401,107,199
bda,9899006,8294,153,292
bdb,9927952,8418,187,486
bdc,9692339,10473,185,265
bdd,9999418,8111,140,193
bde,9828323,8956,124,224
bdf,9994361,8020,96,175
bdg,9955710,8182,175,333
bea,9737152,9027,101,157
beb,9520170,7847,50,137
bec,9772445,9016,326,489
bed,9768053,9401,9,23
bee,9943381,6980,115,153
bef,9932877,7702,145,218
beg,9930626,7180,70,144
bfa,9757472,8931,24,65
bfb,9999531,8623,233,351
bfc,9406946,8275,116,191
bfd,9920451,8971,111,336
bfe,9857515,7881,54,97
bff,9955758,7824,5,5
bfg,9937954,8588,138,263
bga,9777344,8712,380,641
bgb,9946075,8384,130,346
bgc,9980992,9091,91,235
bgd,9822998,9447,92,252
bge,9907965,8781,220,407
bgf,9850584,9401,321,506
bgg,9345240,8713,39,117
caa,9876940,8075,193,344
cab,9930537,9120,24,75
cac,9996447,9369,24,66
cad,9555882,8413,95,251
cae,9961849,9031,115,197
caf,9987855,9238,234,372
cag,9963505,8086,55,87
cba,9994745,11001,62,126
cbb,9894318,8073,123,285
cbc,9708862,8186,41,80
cbd,9776482,8880,10,25
cbe,9763870,8158,83,185
cbf,9519400,9459,110,209
cbg,9255847,9246,120,210
cca,9821883,9553,23,72
ccb,9890435,8565,248,384
ccc,9985261,9631,273,414
ccd,9976735,9927,101,263
cce,9813319,8709,409,673
ccf,9902107,9186,118,222
ccg,9968222,9026,42,93
cda,9773299,9690,48,84
cdb,9890979,9899,36,127
cdc,9994884,7268,86,241
cdd,9930628,7621,112,195
cde,9811292,8827,21,36
cdf,9925046,9580,182,239
cdg,9877141,9797,170,292
cea,9981475,9568,9,40
ceb,9866558,9885,65,226
cec,9979183,7960,69,132
ced,9897674,9260,112,236
cee,9796129,8386,5,9
cef,9714882,8149,26,58
ceg,9813643,8245,24,52
cfa,9906244,8893,223,315
cfb,9798586,7627,108,213
cfc,9588532,10010,11,37
cfd,9963514,8267,101,200
cfe,9630410,8550,5,15
cff,9972515,8299,60,99
cfg,9997917,11647,130,211
cga,9951201,9418,142,249
cgb,9971524,9392,170,351
cgc,9639109,9772,110,186
cgd,9896964,8004,38,92
cge,9947840,8781,117,234
cgf,9837195,9053,181,303
cgg,9912486,8970,965,2566
daa,9955164,8179,26,61
dab,9856848,9423,41,106
dac,9956549,9903,96,258
dad,9778600,9813,147,211
dae,9941879,9409,275,444
daf,9989441,9201,5,13
dag,9875780,9226,132,248
dba,9865246,9761,160,304
dbb,9630528,7383,8,23
dbc,9775482,10388,102,215
dbd,9744964,8619,46,115
dbe,9886266,8827,67,206
dbf,9853207,9812,67,224
dbg,9890101,9624,124,194
dca,9761983,7351,8,27
dcb,9999597,10000,292,540
dcc,9760820,10016,40,211
dcd,9844603,9751,17,55
dce,9953891,8687,45,86
dcf,9979702,10050,144,348
dcg,9999495,9064,178,257
dda,9215057,9113,114,225
ddb,9818309,8043,9,28
ddc,9907169,10310,380,552
ddd,9938066,9922,160,294
dde,9800710,9208,134,236
ddf,9894070,7881,74,176
ddg,9662706,9194,5,5
dea,9151898,10107,19,58
deb,9744546,9991,162,264
dec,9398929,8924,177,357
ded,9989853,7679,87,131
dee,9851910,7708,148,268
def,9974647,9938,492,1226
deg,9701957,10119,135,269
dfa,9954255,8178,25,64
dfb,9958948,6535,6,22
dfc,9887742,7484,263,540
dfd,9849348,8002,96,180
dfe,9896032,8897,27,130
